E,N,Z
-2.9,5.53,-4.75
-14.1,6.37,-5.17
-11.6,6.05,-3.47
-2.04,4.29,-1.22
4.76,2.14,0.566
3.43,0.423,1.28
-0.643,-2.32,0.0137
1.88,-4,-2.17
7.53,-2.34,-4.02
6.55,-1.44,-5.25
-0.478,-1.97,-4.47
-3.45,-1.36,-1.6
1.26,-0.654,0.892
6.52,1.16,1.8
5.83,3.78,0.86
0.812,4.99,-1.44
-1.06,5.32,-2.73
3.05,4.62,-2.01
4.88,3.54,-0.142
0.0563,1.89,1.95
-7.93,0.267,3.78
-13.4,-0.147,4.97
-12.2,-0.464,5.3
-5.9,-0.976,4.92
0.203,-0.803,3.99
1.95,0.155,2.98
2.3,-1.75,2.36
1.45,-4.87,2.4
2.7,-6.25,2.97
9.71,-7.61,2.78
11.8,-6.32,1.25
8.11,-3.62,-0.299
3.87,-1.34,-0.645
-0.215,0.755,0.234
-2.04,-0.649,2.26
-3.81,-3.63,4.9
-4.09,-5.59,6.56
-1.71,-5.23,6.25
1.91,-2.32,4.19
3.44,0.465,1.51
-0.144,1.32,-0.537
-3.96,-0.0799,-1.03
-3.53,-1.6,0.146
-0.255,-3.26,1.89
-0.554,-5.54,3.35
-4.8,-6.73,4.72
-5.99,-6.63,5.57
-2.51,-6.2,4.73
1.07,-5.6,2.31
1.18,-3.37,-0.184
0.48,0.066,-1.43
1.23,1.93,-1.7
1.28,0.324,-1.97
-0.588,-2.89,-1.24
-2.55,-3.7,0.196
-1.37,-1.9,0.274
1.96,0.504,-0.106
1.1,3.03,0.404
-4,5.47,1.66
-5.84,6.02,3.53
-2.88,3.4,5.74
0.203,0.549,8.49
-0.564,0.139,11.4
-2.13,0.814,13
-0.341,1.95,12.4
1.94,3.87,10.1
3.77,3.86,7.8
2.92,1.65,6.09
-1.47,-0.55,4.7
-3.44,-3.01,3.05
-1.3,-3.02,1.25
2.66,-0.0382,0.092
3.15,2.05,-0.112
0.42,2.51,0.324
1.32,2.55,0.955
3.96,2.66,1.38
2.12,0.571,0.529
-5.19,-2.03,-1.37
-10.9,-0.93,-1.97
-9.72,1.14,-1.33
-5.41,1.1,-0.632
-5.45,-0.212,-0.0128
-11,-1.36,-0.243
-10.8,-1.76,-0.916
-1.85,-1.59,-1.38
6.62,-1.04,-2.27
10.4,0.0715,-3.63
10.8,1.05,-5.02
11.9,1.26,-6.1
14,0.895,-6.97
11.6,-0.277,-6.97
5.39,-1.59,-4.87
1.11,-2.14,-1.7
0.844,-1.83,0.184
2.41,-0.98,-0.717
-0.267,-0.00583,-3.31
-8.9,0.832,-5.14
-14.1,1.45,-5.45
-10.4,1.69,-4
-2.93,1.45,-1.16
2.09,0.444,1.39
4.11,-1.97,2.71
6.9,-4.23,2.99
10.6,-3.95,2.72
10.2,-2.73,2.01
4.16,-2.64,1.8
-2.12,-2.27,3.4
-2.76,-1.11,4.92
0.535,-0.162,3.94
4.65,0.903,1.75
7.97,2.43,0.204
6.64,3.32,-0.544
2.29,2.22,-0.119
-1.47,0.934,1.13
-5.03,1.47,1.18
-8.05,1.41,-0.259
-8.46,-0.0692,-1.58
-5.25,0.218,-2.58
-3.03,2.11,-3.45
-2.67,1.74,-2.69
-3.66,0.251,0.292
-8.15,1.32,2.93
-7.74,2.71,3.75
-2.35,1.32,2.24
-0.383,-0.785,-1.48
2.88,-0.745,-4.04
8.08,-0.363,-4.98
11.6,-1.88,-5.09
13.8,-3.09,-3.33
12,-2.42,-2.18
7.72,-1.64,-1.57
0.799,-1.68,0.715
-12.1,-0.945,2.49
-21.2,0.745,3.49
-16.5,1.03,5.06
-2.67,0.672,6.36
7.73,2.09,6.8
7.89,3.21,6.15
0.779,2.59,4.06
-4.28,2.33,1.04
3.69,2.68,-0.796
18.5,3.31,-0.751
22.1,4.35,-0.314
14.6,4.26,0.563
9.32,2.24,1.63
12.1,0.656,1.79
17.2,0.0841,0.819
13.8,-1.77,-1.2
4.66,-4,-2.36
-1.71,-5.28,-1.61
-10.3,-6.78,-0.309
-19.5,-8.47,2
-23.5,-8.39,4.79
-22.7,-5.81,4.84
-15.3,-1.84,2.08
-7.98,2.81,-1.92
-9.93,6.23,-6.76
-15.7,6.38,-10.1
-12.2,4.04,-10.5
2.41,1.47,-8.81
16.2,-0.913,-5.59
16.2,-4.72,-2.05
1.73,-8.34,0.12
-8.3,-9.09,1.5
0.136,-7.37,2.21
14.4,-3.73,2.67
17,-1.11,3.76
7.9,-0.81,4.76
-2.57,0.69,5.84
-5.25,2.02,5.91
-1.46,3.53,2.99
-1.86,7.27,-1.73
-9.61,7.91,-5.43
-18.4,5.93,-6.49
-16.9,5.98,-6
-4.23,6.4,-5.01
8.29,3.77,-2.96
16.1,-0.648,0.794
9,-3.77,3.26
-7.41,-7.35,1.73
-12.5,-10.1,0.595
-10,-8.63,1.4
-2.85,-4.78,1.43
3.46,-0.691,1.3
-0.0356,3.56,2.23
-3.55,8.1,3.66
-7.04,11.6,3.64
-10.5,9.58,2.6
-9.4,3.59,3.12
-3.87,1.99,5.02
10.2,5.47,6.28
18.3,7.18,6.18
5.52,5.44,5.18
-18.9,5.1,3.55
-30,4.54,0.951
-14.4,1.41,-2.29
5.73,1.4,-3.63
11.3,2.65,-3.09
3.98,-0.0678,-3.6
-7.52,-4.24,-4
-7.77,-6.13,-3.12
-1.75,-3.73,-3.09
-1.61,-1.35,-3.57
2.37,-1.77,-2.9
10.7,-0.551,-2.51
16.7,0.973,-2.14
17.5,-0.0908,-0.636
4.19,-2.96,-0.871
-9.52,-2.77,-1.68
-5.56,3.04,-1.83
6.68,7.49,-3.61
12.3,8.68,-3.76
7.81,7.46,-1.4
-1.64,2.49,0.841
-10.4,-3.6,2.61
-11.9,-7.78,3.26
-0.482,-7.36,3.57
10.8,-2.98,2.92
9.28,-3.24,0.515
-6.43,-9.88,-0.934
-28.8,-12.3,-0.217
-28.8,-10.7,1.17
-5.99,-9.18,2.01
11.1,-6.21,2.93
15.2,-3.58,4.33
7.28,-1.53,4.83
-1.11,-0.317,3.89
3.67,1.96,2.19
11.7,4.95,-1.22
11.1,6.09,-5
5.78,5.24,-5.41
0.477,1.63,-4.03
-1.32,-0.774,-2.63
-5.11,-2.29,-1.07
-15.7,-4,-0.351
-15.3,-3.01,0.506
-2.38,-0.859,0.567
9.49,-0.343,0.0168
12.9,-0.527,-0.408
2.36,3.32,-3.67
-0.53,8.58,-6.12
15.2,9.91,-3.91
20.5,10.5,0.879
6.41,8.78,7.67
-11.2,2.95,13.6
-16.4,0.478,16.8
1.71,2.34,17.8
24,2.61,14.7
21.3,-0.0675,9.04
-7.23,-1.07,4.91
-30.1,1.04,3.62
-22.4,2.59,4.83
-5.15,3.55,7.28
-4.84,1.03,7.86
-17.1,-5.27,4.35
-25.1,-8.75,-2.62
-14.2,-10.5,-10.5
10.2,-8.7,-14.4
26.1,-3.21,-15.1
26.3,-4.06,-15.3
13.3,-9.53,-13.2
-4.21,-13.5,-11
-13.8,-12.9,-9.32
-13.5,-7.51,-7.4
-6.56,-2.32,-5.01
-0.723,2.12,-0.711
5.82,4.38,3.58
15.1,4.3,5.85
11.3,1.99,4.61
-5.98,0.448,1.96
-13.1,6.21,3.03
-3.31,15.5,5.04
3.35,19.9,4.97
-5.03,16.1,5.97
-17.3,8.69,7.71
-14.8,5.16,6.11
-1.39,4.31,0.943
3.35,1.29,-4.31
2.06,-0.767,-8.73
3.72,1.66,-11.7
7.62,0.396,-9.95
10.5,-5.94,-4
4.8,-8.32,2.28
-1.62,-7.42,7.35
-1.99,-6.33,10.4
-8.33,-5.97,9.71
-13.6,-4.68,7
-3.96,1.36,6.6
10.2,5.34,7.08
8.52,1.48,5.25
-7.36,-2.96,3.7
-20,-2.11,2.98
-16.6,2.34,1.15
4.94,6.42,-0.717
17.5,6.89,-5.06
1.19,6.36,-10.5
-20.7,7.24,-9.89
-16.2,7.71,-7.02
12.9,12,-6.78
38,17.2,-5.43
45,15.4,-1.21
28,12.6,3
-5.54,5.33,0.637
-32.1,-6.89,-6.97
-44,-8.49,-11.1
-34.7,-1.59,-10.7
-12.9,4.47,-6.7
5.81,3,-0.957
18.6,0.297,2.28
12.4,4.2,2.85
-2.18,3.22,0.592
-2.97,-0.837,-0.373
-1.01,0.326,4.76
-1.72,1.91,9.96
2.78,-4.58,8.73
6.53,-13.1,2.7
6.13,-11.9,-4.72
9.61,-8.97,-11.2
22.6,-8.64,-14
30,-4.32,-13.3
23.1,3.76,-9.71
19.7,10,-3.65
16.1,11.7,-0.781
4.7,10.4,-0.425
-12.1,8.06,4.03
-34,4.15,11.1
-33.6,3.18,18.1
1.99,8.59,20.2
40.3,8.78,12.9
48,1.93,2.85
17.7,-1.11,-4.85
-15,-1.97,-11.2
-5.93,-3.87,-13.9
26.2,-2.13,-12.3
37.6,0.428,-8.98
26.9,1.17,-3.44
10.1,2.75,2.97
4.03,3.16,4.39
8.66,5.47,0.363
12.1,9.06,-1.97
20.6,9.71,0.646
19.8,10.7,2.48
-2.21,10.4,-0.517
-28.1,6.55,-4.76
-40.5,1.01,-4.89
-40,-1.27,-1.41
-38.2,-0.87,0.304
-29.4,-1.12,0.335
-22.2,1.7,-1.9
-27.9,-0.326,-8.27
-33.3,-10.9,-12.1
-30,-18.1,-10.3
-15.7,-18.4,-8.79
7.06,-15.2,-7.68
17.9,-9.47,-4.55
7.71,-5.38,-4.58
-3.03,-2.84,-7.96
-2.91,1.23,-9.77
8.69,0.85,-7.77
8.99,-1.29,-3.03
-10.5,1.32,1.54
-19.5,6.27,8.1
-12.5,11.5,13.8
0.0757,15,14.2
2.92,12.8,12.2
-8.39,3.69,9.71
-21.3,-3.59,8.57
-31.2,-3.49,8.37
-29.6,-2.83,6.41
-20.6,-4.84,3.03
-17.7,-1.01,1.18
-12.6,4.41,-3.05
-6.4,0.398,-12.2
-22.6,-3.65,-15.1
-42.4,-6.41,-7.4
-39.9,-8.68,2.78
-22.5,-7.09,6.01
3.76,-11.8,0.37
17.7,-17.9,-6.43
15.5,-16,-10.9
15.7,-7.35,-13.6
26.6,2.76,-14.6
29.3,7.18,-12.9
12.4,7.66,-6.29
8.88,5.26,3.02
17.6,0.0355,10.2
16.7,-6.65,13.9
0.673,-10.8,14
-14.3,-10.1,9.7
4.94,-6.19,3.19
40.9,-0.707,-4.77
58.9,-2.62,-9.16
61.2,-9.53,-2.99
58.6,-9.86,6.4
47.2,-10.7,11
18.4,-18.2,15.7
-19.7,-24,19
-24.7,-18.6,19.2
21.2,-5.2,20.1
60,-1.93,16.1
47.3,-6.97,10.6
3.64,-6.27,10.2
-18.1,0.945,8.44
7.28,8.81,8.66
28.8,9.51,12.6
-2.12,4,13.4
-50.7,-3.62,15
-63.9,-10.9,18.2
-34.1,-13.2,18.2
4.79,-8.6,15.6
12.5,-2.29,11.5
-6.15,-1.15,7.3
-29.6,-7.84,-0.629
-39,-13.4,-7.66
-34.7,-10.2,-2.78
-44.7,-3.28,5.21
-51,4.78,9.91
-28.5,4.45,13
-6.22,-3.21,11.1
-12.7,-8.28,9.65
-33.3,-11.9,11.8
-33.4,-8.51,13.3
-8.48,-2.08,13.1
20.7,3.36,11.8
27.8,6.74,11.3
8.28,6.35,11.8
-3.07,8.2,13
12.2,6.28,14.8
25,2.07,15.2
7.76,3.66,14.7
-16.7,6.57,15
-10.6,6.24,16.7
5.94,3.54,17.9
4.67,1.87,18.7
1.36,1.42,20.7
6.51,6.06,21.3
23.1,13.5,17.3
32.2,14.6,11.1
10,13.8,6.9
-12.2,14.3,5.6
-8.27,15.9,8.25
8.04,14.6,13
16.7,8.07,13.8
10.6,3.14,9.76
10.2,-3.43,4.09
19.5,-8.13,-0.967
21.4,-7.31,-6.17
14.1,-7.28,-13
0.888,-10.3,-21.8
-14.8,-16.5,-31.3
-23.7,-20.4,-36.2
-21.6,-18.9,-35.6
-19.9,-11.5,-33.7
-16.2,-2.36,-31.9
-0.594,4.86,-30.9
5.46,10.5,-32
-17.4,10.3,-32.8
-49.4,6.03,-29.1
-64.2,4.12,-20.2
-51.9,6.37,-12.1
-21.5,6.74,-8.97
5.4,-0.501,-8.93
11.9,-10.7,-9.06
4.09,-20.2,-5.53
3.84,-25.9,4
9.8,-27.5,14.3
13.3,-30.1,21.1
17.7,-32.6,25
12.1,-31.5,25.9
-10.8,-27.9,22.8
-26.5,-28.2,17.1
-17.4,-30.6,12
1.52,-29.1,8.08
18.5,-28.9,6.75
20.3,-24.5,8.11
-2,-12.5,7.98
-28.8,-2.99,6.25
-40.2,0.416,4.54
-32.4,0.637,4.35
-20.7,4.98,8.11
-11.9,9.8,12.7
-4.12,11.4,15.8
-10.3,13.3,16.3
-25.3,12.2,12.2
-29.8,9.88,5.49
-11.3,6.01,-1.16
26.8,-1.14,-3.78
45.7,0.343,-1.47
29.1,4.58,-1.8
-0.707,-4.13,-8.96
-25.6,-9.69,-18.2
-12.4,-2.09,-19.7
18.7,10.8,-11.1
19.6,28,-0.352
12.4,40.1,9.14
2.24,45.6,16.1
-15.9,45.3,17.5
-26,38.3,17.8
-20.2,33.1,21.8
2.43,31.6,26.1
29,31.5,29
49.3,23.5,34
36.8,10.9,39.4
4.33,1.16,41.1
-4.06,-7.92,40.5
9.97,-12.6,35.8
37.9,-15.4,23.3
57.4,-16.9,6.58
50.2,-21.2,-7.08
34.1,-32.4,-13.2
26.5,-40.6,-14.3
25.3,-42.7,-12.7
17,-42.5,-7.17
-3.52,-42.3,-3.16
-27.5,-44.3,-4.38
-30.1,-44.1,-5.76
-11.6,-34.3,-7.1
-10.6,-18.9,-12.3
-28,-7.66,-18.2
-40.3,-3.22,-22.9
-48.2,-7.08,-27.4
-37.7,-15.5,-26.9
-11.2,-23.5,-22.4
9.97,-28,-19.5
22.5,-25.9,-17.9
14.9,-23.5,-17.6
-0.511,-21.6,-19.5
-0.72,-13.7,-23.5
8.49,-0.44,-26.6
12,10.9,-25.3
-9.23,14.8,-21.2
-45.6,17.8,-12.4
-70.4,22.9,-1.34
-71,27.8,4.8
-53.8,31.1,4.97
-38.6,30.3,2.92
-22.7,36.7,4.62
-7.3,46.1,10.3
-9.35,38.4,16.9
-27.6,21.1,23.1
-43.3,0.889,24.6
-36.2,-13,22.6
-7.25,-13.4,18.9
19.8,-16.9,10.3
28.9,-21.4,1.77
35.1,-21.7,-2.67
47,-20,-2.03
51.9,-18,5.2
34.3,-19,13.8
-10.6,-16,19.5
-43.8,-9.92,21.9
-38.1,0.284,24.8
-18,11.8,26.2
-9.61,8.07,20.8
-9.89,-2.93,15.4
-1.24,-1.72,11.7
12,6.24,5.1
12,2.97,-1.61
-2.7,-8.39,-7.88
-9.06,-13.3,-15.4
15.7,-8.76,-21.6
40.4,-5.25,-27
36.3,-9.54,-31
12.5,-8.14,-30.5
-27.3,-1.31,-30.2
-39.2,-2.77,-29.5
-13.8,-9.56,-24.4
-6.77,-7.7,-18.9
-14.8,3.04,-15
-19.4,6.47,-11.1
-24.5,9.15,-5.46
-21.9,13.1,0.547
-5.14,9.44,8.47
11.7,11.7,16.7
-1.36,15.7,16.6
-23.7,18.3,12.7
-15.5,24.6,10.2
5.85,23,6.91
23.4,10.2,4.06
33.6,-9.29,4.61
21.6,-19.8,10.6
-7.49,-19.9,16.8
-19.9,-28.9,18.9
-7.66,-34.9,20.5
-0.274,-26.8,23
4.28,-26.6,25.5
6.69,-33.9,30.9
2.94,-36,33.5
9.04,-36.9,28.7
14.1,-32.9,22.6
16.5,-27.4,15.5
2.24,-21.5,12
-17.5,-13.2,15.5
-11.5,-8.02,18
-5.82,-5.98,18.1
3.15,-8.86,16.1
12.8,-11.1,11.7
15.7,-11.5,9.41
27.2,-9.73,11.9
28.1,-3.54,17.2
11.7,0.625,20
-10,1.48,19.9
-20.5,-3.09,18.6
-23.2,-9.8,17.7
-28.9,-14.1,19.9
-27.4,-12.3,24.1
-18.4,-3.99,24.7
-3.79,3.57,18.4
5.02,11,6.46
2.26,17.4,-5.84
-5.59,25.7,-10.2
-9.43,37.5,-3.63
-5.67,42,6.41
-23.3,40.2,10.9
-53.9,35.2,10.2
-65.6,27.9,9.46
-61.6,20.6,9.16
-44.1,14.6,10.7
-37.7,13.1,13
-44.6,8.24,15.5
-39.7,1.38,21.7
-31.8,-4.73,26.4
-25.4,-15.4,27.7
-24.5,-24.2,30
-22.9,-28.5,29.4
-7.85,-30.7,22.6
2.67,-36.8,12.9
-1.87,-43.2,5.42
-15.6,-38.4,0.0998
-28.8,-31.4,-4.5
-27.4,-29.3,-2.22
-13.2,-25,5.76
2.42,-15.9,11.5
18.8,-3.58,11.4
18.5,-0.639,5.01
-0.423,-12.9,0.349
-6.74,-19.1,-0.658
-3.63,-17.7,-3.15
0.321,-23.7,-1.59
3.95,-32,3.91
10.7,-35.4,8.48
36.8,-30.8,13.8
50.4,-25.7,16.4
33,-28.3,14.5
1.6,-28.3,6.31
-26.3,-17.5,-8.63
-20.1,0.362,-19.7
3.07,14.4,-22.8
16.9,20.9,-17.3
25.5,26.6,-4.97
33,26.2,3.85
40.4,17.6,4.85
35.6,10.1,2.57
25.4,4.58,1.09
17.8,5.31,-0.348
12,11,0.352
14.2,13,2.15
7.44,7.41,-2.75
-17.1,-6.14,-7.95
-45.4,-17.8,-5.07
-57.3,-21.8,2.3
-44.8,-19.1,8.82
-17.1,-11.4,12.6
7.25,-8.54,14.3
7.33,-13.2,15
-1.85,-20,16.1
-5.05,-29,14.6
3.56,-37.6,13.8
24.6,-39.4,17.4
29.4,-35.8,18.5
16.4,-32.9,18
-5.06,-30.4,17.9
-29.2,-24.3,17.9
-28.1,-11.9,20.4
-8.09,2.64,18
-1.72,5.59,5.68
-12.1,-4.43,-7.37
-25.8,-13,-16.9
-30.5,-14.6,-25.2
-15.4,-14.1,-30.1
6.55,-11.8,-34.7
3.87,-7.77,-39.4
-25.8,-6.56,-37.8
-44.8,-9.43,-30
-29.4,-11.4,-19.5
-4.76,-11.3,-12.1
-0.0512,-14.2,-8.97
-9.83,-19.3,-8.06
-9.97,-17.7,-12
2.75,-8.74,-19.8
8.71,-8.5,-26.6
7.2,-17.7,-28.1
1.23,-18.5,-28.8
-8.57,-12.1,-30.6
-4.76,-7.54,-27.7
8.17,-6.63,-23
16.5,-1.66,-18.4
23.8,9.49,-13.8
25.7,8.93,-8.6
16.9,-2.41,1.04
5.21,-8.68,11.4
-0.539,-8.82,20.3
-2.71,-13.7,27
1.07,-22.6,30.8
11.1,-18.7,33.3
5.02,-9.67,33.2
-8.61,-9.02,34.6
-5.25,-7.82,37.9
2.66,-1.12,39.6
15.7,6.43,42.8
26.1,7.23,44.8
16.4,6.96,41.6
13.5,10.7,31.5
30.8,10,14.8
47.8,4.7,-2.17
39.5,-2.01,-13.9
14.9,-9.39,-16
6.95,-13,-9.48
-0.247,-11.4,-3.65
-11.6,-12.1,-0.571
-9.35,-17.3,0.535
-5.03,-22.2,-3.75
3.6,-23.1,-9.6
10.9,-20.2,-13.5
17.1,-23.2,-14.6
33.2,-25.7,-11.9
40.4,-21.8,-7.97
37.8,-22.7,0.398
32.6,-26.4,12.2
17.3,-25.4,20.3
5.92,-19.1,27.3
15.8,-9.45,36.2
29.4,2.73,42.3
37.3,16.6,45.7
44.6,28,47.5
37.4,34,45.6
23.7,35.6,43.6
19.8,37,44.4
18.1,40.4,46
21.6,40.4,48.3
47.4,33.4,50.8
80.4,28.8,54
97,27.4,55.3
95.9,20.1,54.4
73.7,17.1,54.6
54.3,18.5,53.4
45,14.9,53
22.1,11.7,54.7
-0.283,8.92,54.9
-10.5,9.31,54.7
-8.79,11.6,53.5
-3.11,12.1,50.7
0.142,14.8,48.4
9.73,18.1,46.4
15.1,20,44.8
15.1,16.9,46.2
19.3,13.5,50.9
29.4,15.8,54.5
43.8,18,56.4
57.7,19.3,57.4
63.9,18.7,55.5
62,19,51.7
60.1,20.7,44.2
62.2,12.5,30.3
69.9,-4.15,14.2
71.2,-13.5,0.429
68.3,-19.4,-11.3
61.9,-28.1,-21.8
44.6,-32.2,-29.4
36.7,-34.9,-34.4
28.6,-35.7,-38.1
13.3,-35.2,-39.1
10.4,-40.6,-38
28.2,-45.4,-33.4
65.4,-46.2,-25.2
81.4,-46.9,-15.4
64.8,-53.4,-3.3
42.9,-59.1,11.5
33.9,-52.3,25.6
49.7,-42.3,34.3
69.4,-36.2,39.3
79.9,-30.8,41.9
80.5,-24.6,36.9
81.4,-21.2,24.9
90.2,-24.4,9.4
90.8,-29.4,-7.24
91.9,-32,-21
99.4,-31.7,-31.7
100,-32.8,-40.5
93.4,-38.4,-45.9
75.8,-44.7,-48.2
38.2,-50.2,-49.6
-2.9,-57.7,-49
-16.2,-66.7,-45.2
-0.54,-71.2,-40.3
22.8,-70.8,-33.5
38,-73.9,-23.5
37.9,-80.2,-13.2
33.4,-80.2,-3.7
41.8,-77,5.83
56.6,-74.6,13.6
52.9,-72.3,18.4
30.6,-74.9,20.2
23.6,-75.5,19.7
31.1,-70,13.6
27.4,-66.9,3
21.8,-67.5,-7.39
32.9,-70,-20.3
57.6,-64.7,-32.9
71.9,-55.6,-39.9
70.8,-57.4,-43.8
66,-59.5,-46.5
49.7,-55.3,-47.1
28,-54.7,-45
17.5,-57.5,-42.2
14.3,-57.2,-42.4
20.4,-56,-41.7
37.6,-58,-37.4
39.9,-60.3,-35.6
20.8,-65.3,-31.5
15.1,-72.6,-24.3
24.2,-76.1,-19.8
32.6,-78.3,-12.9
42,-81.8,-4.23
41.2,-85.2,3.02
40.4,-87,9.95
52.3,-86.3,16.5
61.6,-86.5,23.6
68,-88.2,29.4
69.4,-88.5,32.7
57.1,-87.8,34.9
41,-88.7,37
31.9,-89.9,37.3
33.7,-88.6,35.9
51.7,-85.9,34
66.5,-81.2,29.6
49.4,-77,27.6
30,-79.1,30.6
41.8,-77.6,31.3
65.6,-68.9,30.5
87.7,-63.8,34.4
101,-62.5,39.5
103,-62,42.4
99.2,-61.2,43.8
90.4,-59.8,46.6
93.4,-58.6,50.8
111,-54.3,51.6
135,-46.2,52.9
148,-37,55.1
122,-28.2,56.1
75.1,-21.4,57.4
31,-14.1,57.2
3.98,-5.03,59.8
3.81,3.46,61.9
8.46,9.81,57.3
1.19,11.5,51.5
-11.6,7.89,48.3
-13.6,3.41,44.6
-5.02,-1.83,38.9
16.5,-7.99,38.7
59,-8.63,44
96.6,-4.61,47.2
101,-1.39,50.3
58.5,0.627,55.7
6.82,0.864,62.6
6.16,3.17,64.5
18.2,8.59,56
7.5,3.8,42.3
-4.54,-15.6,22.1
-12.6,-34.1,-3.84
1.82,-38.2,-21.7
21.8,-34.5,-29.3
21,-35.2,-34.7
22.4,-33.2,-40.4
24.7,-29.1,-44.6
29.9,-35.2,-47.3
42.6,-41.9,-52.5
35.3,-45.1,-59.8
22.7,-48.3,-65.1
23,-47.1,-72.5
15.1,-45.9,-82.2
10.7,-44,-89.5
25.5,-39.3,-97
42.6,-34,-105
38.6,-28.7,-111
16.8,-28.7,-113
8.9,-32.1,-116
16.4,-32.6,-120
29.8,-32.6,-120
49.5,-35.2,-117
58.7,-38.4,-116
49.9,-38.3,-115
32.5,-36.8,-111
23.4,-34,-106
24.7,-25.8,-104
22.8,-15.9,-102
23.5,-10.1,-99
13.7,-7.31,-100
-16.9,-7.8,-103
-33.2,-11.4,-104
-29.8,-13,-107
-23.9,-11.9,-111
-22.4,-12.2,-112
-27.8,-17.7,-112
-26.8,-24.8,-114
-23.3,-30.9,-115
-18.6,-38.7,-112
-21.9,-43.3,-111
-48.6,-44.7,-109
-73.8,-43.6,-108
-86.1,-37.2,-111
-84.7,-25.5,-112
-82.6,-8.66,-111
-88.8,3.25,-106
-91.4,9.9,-104
-101,17.1,-105
-98.2,20.2,-105
-76.8,24.7,-107
-50.2,31,-109
-18.5,34.8,-112
1.9,37.3,-114
11.9,37.2,-115
10.3,36.8,-116
-4.31,35.6,-116
-3.48,31.5,-115
16.9,32.3,-116
22.5,43,-115
-0.736,50.9,-108
-21.4,46.1,-103
-21.2,44,-104
-9.53,54.4,-104
7.58,64.1,-100
25.7,66.1,-94.8
34.9,67.6,-94.2
38.6,70.1,-95.2
51.6,69.9,-95.4
60.3,68.6,-97.9
52.7,66.1,-100
39.2,61.4,-103
35.3,53.6,-107
54.2,46.7,-111
71.6,48,-112
67.2,48.3,-108
52.1,42.1,-105
30.7,40.9,-101
21.5,44.1,-95.5
36.2,50.7,-89.1
51.7,61.2,-80
56,68.4,-71.5
46.7,74.5,-63.8
35.3,77.1,-57
39,78.8,-52.2
39.7,88.4,-47.4
40.9,94.7,-44.4
37.9,101,-43.1
7.03,108,-46.2
-14.8,107,-55.9
-22.7,107,-65.1
-37.7,106,-74.8
-42.9,98.3,-83.7
-35.9,91.6,-88.7
-24.3,87.7,-92.9
-25.1,91,-92.3
-46,95,-86.3
-63.1,85.2,-83.7
-63.8,77.3,-83.2
-62.5,87.1,-75.5
-61.9,96.6,-62.9
-58.6,97.6,-50.5
-67.1,96.2,-38.7
-87.6,96.3,-29.2
-100,96.4,-19.6
-98.2,92.4,-10.2
-90.8,94.1,-1.17
-74.4,100,7.35
-51.1,110,16.7
-38,124,26.8
-37.5,125,30
-48.2,125,29.8
-67.5,131,31.3
-76.7,128,28.6
-60.6,126,22.4
-36.5,141,17.3
-24.9,150,12.3
-20,146,7.1
-18.2,143,2.09
-27.6,144,-1.89
-43.9,145,-4.18
-49.6,134,-8.52
-35.1,124,-14.7
-10,133,-15.8
6.9,149,-12.3
5.65,151,-12.2
-11.4,137,-17.7
-25.5,119,-27.5
-21.4,119,-34.7
-9.07,131,-35.9
-2.2,126,-42.1
-2.41,110,-55.3
1.48,95.8,-69.4
16,85.7,-80.5
32.2,82.1,-85.5
43.7,80,-85.2
45.6,77.6,-79.9
36.7,73.4,-71.8
23,69.5,-63.9
10.9,65.6,-58.8
2.91,61.4,-52.7
-8.23,61.7,-43.4
-22.5,61,-35.1
-33.5,58,-29
-43.8,58.7,-23.9
-50.5,61.9,-16.9
-40.1,61.2,-11.9
-19.4,67.1,-5.23
-5.49,80.4,6.6
8.6,81.3,12
22.1,78.8,15.7
22.4,83.3,21.6
9.46,88.3,27.1
-12.1,87.3,30
-32.9,81.5,30.1
-45.1,81.2,33.5
-44,86.5,39.1
-37.2,94.3,45.6
-41.1,100,50.9
-58.7,101,52.6
-74.5,96.1,50.8
-83,99.2,51.2
-92.3,112,54.4
-97.7,116,50.9
-96.5,111,43.5
-86.5,110,38
-74.9,122,38.1
-73,132,39.8
-78.6,123,35.2
-92.3,114,27.7
-102,113,22.6
-99.4,120,23.5
-94.3,127,25.4
-88.8,125,22
-85.9,124,18.6
-88.1,125,18.2
-86.3,120,12.4
-72.4,117,2.3
-58.9,124,-1.03
-51.6,126,-4.44
-53.6,120,-12.6
-70.6,104,-24.7
-86.9,81.7,-45.6
-92.3,65.3,-69.7
-80.4,49.2,-91.5
-58.3,34.2,-105
-37.3,26,-108
-24.3,19.1,-101
-34.6,10.6,-91.5
-55.4,-2.53,-92.4
-67.2,-12.4,-95.3
-60.1,-16.7,-94.6
-30,-18.4,-92
10.1,-15.9,-84.2
39.1,-14.4,-75.3
34.1,-16.6,-65
8.62,-23.1,-55.9
-3.76,-25.4,-46.3
7.55,-17.9,-34.1
29.4,-9.35,-23.3
41.2,-5.1,-15.6
41.5,-8.96,-14.8
32.4,-16.9,-16.7
14.9,-21.6,-18.1
-4.2,-23.4,-20.8
-19.4,-28,-24.4
-17.4,-33.6,-28.9
-6.09,-28.2,-27.7
-3.43,-19.2,-24.7
-6.62,-16.3,-27.5
-16.1,-16.4,-32
-30.8,-12.9,-35.6
-52.9,0.21,-32.9
-84.8,10.6,-28.3
-105,9.61,-28.1
-102,5.54,-22.9
