E,N,Z
0.0173,0.36,-0.145
0.0207,0.361,-0.143
0.0359,0.36,-0.141
0.0501,0.36,-0.141
0.0536,0.362,-0.144
0.0485,0.363,-0.149
0.0436,0.362,-0.15
0.0376,0.364,-0.15
0.0334,0.364,-0.147
0.0404,0.363,-0.148
0.0434,0.362,-0.151
0.0309,0.361,-0.152
0.0147,0.361,-0.154
0.00648,0.361,-0.154
0.0169,0.361,-0.152
0.0334,0.362,-0.152
0.0348,0.365,-0.151
0.0317,0.366,-0.15
0.0321,0.366,-0.148
0.0349,0.367,-0.147
0.0417,0.366,-0.147
0.0472,0.368,-0.149
0.0559,0.368,-0.154
0.0666,0.368,-0.156
0.0697,0.366,-0.152
0.0601,0.362,-0.149
0.0383,0.363,-0.146
0.0187,0.363,-0.146
0.0129,0.364,-0.145
0.0225,0.365,-0.143
0.0445,0.365,-0.143
0.0586,0.363,-0.144
0.0562,0.363,-0.146
0.042,0.364,-0.148
0.0214,0.365,-0.15
0.0155,0.365,-0.152
0.0221,0.367,-0.152
0.0233,0.37,-0.151
0.0239,0.368,-0.15
0.0223,0.368,-0.149
0.0246,0.372,-0.151
0.0271,0.374,-0.152
0.0164,0.374,-0.15
0.0133,0.371,-0.146
0.0249,0.364,-0.143
0.0379,0.364,-0.144
0.0462,0.366,-0.147
0.0458,0.369,-0.15
0.0416,0.37,-0.15
0.0406,0.367,-0.154
0.0382,0.365,-0.157
0.0287,0.365,-0.156
0.0275,0.364,-0.153
0.0361,0.362,-0.152
0.0451,0.359,-0.148
0.0477,0.356,-0.145
0.033,0.354,-0.147
0.0132,0.354,-0.148
0.0161,0.357,-0.147
0.0397,0.361,-0.145
0.0598,0.365,-0.141
0.0699,0.367,-0.14
0.0686,0.368,-0.145
0.0545,0.365,-0.153
0.0408,0.363,-0.16
0.0313,0.364,-0.161
0.0289,0.368,-0.153
0.0366,0.373,-0.146
0.0386,0.373,-0.147
0.0303,0.369,-0.147
0.0244,0.364,-0.147
0.0259,0.36,-0.147
0.0327,0.361,-0.14
0.0377,0.364,-0.139
0.0377,0.368,-0.147
0.0333,0.369,-0.154
0.024,0.367,-0.16
0.0135,0.365,-0.163
0.0064,0.367,-0.155
0.00687,0.369,-0.143
0.0148,0.37,-0.142
0.0195,0.374,-0.148
0.0186,0.375,-0.148
0.0222,0.369,-0.144
0.0339,0.365,-0.14
0.0436,0.368,-0.141
0.0475,0.368,-0.144
0.0509,0.37,-0.15
0.058,0.37,-0.157
0.0716,0.369,-0.159
0.0763,0.371,-0.16
0.0657,0.37,-0.157
0.0487,0.368,-0.153
0.0251,0.368,-0.153
0.0119,0.371,-0.15
0.0119,0.372,-0.146
0.0154,0.37,-0.143
0.0296,0.366,-0.143
0.0532,0.361,-0.145
0.0707,0.363,-0.151
0.0614,0.368,-0.156
0.0327,0.369,-0.156
0.0105,0.37,-0.153
0.0119,0.367,-0.15
0.0313,0.363,-0.147
0.0389,0.365,-0.145
0.0317,0.369,-0.148
0.0148,0.376,-0.153
0.00394,0.376,-0.153
0.0136,0.371,-0.146
0.0251,0.369,-0.143
0.0293,0.366,-0.147
0.0228,0.365,-0.15
0.0177,0.365,-0.151
0.0324,0.362,-0.151
0.0544,0.361,-0.147
0.0694,0.364,-0.146
0.0698,0.369,-0.151
0.0579,0.372,-0.154
0.0427,0.374,-0.154
0.0251,0.376,-0.156
0.012,0.375,-0.158
0.018,0.372,-0.158
0.0298,0.369,-0.158
0.0319,0.371,-0.153
0.038,0.371,-0.146
0.052,0.368,-0.14
0.0614,0.368,-0.136
0.0574,0.366,-0.138
0.0369,0.366,-0.144
0.0141,0.37,-0.151
0.0187,0.369,-0.156
0.0459,0.366,-0.155
0.0558,0.366,-0.151
0.0459,0.367,-0.148
0.0352,0.369,-0.149
0.0271,0.372,-0.153
0.0168,0.372,-0.15
0.00678,0.367,-0.145
0.0112,0.362,-0.141
0.0269,0.36,-0.137
0.0378,0.363,-0.139
0.0382,0.368,-0.143
0.037,0.37,-0.147
0.0375,0.37,-0.15
0.037,0.372,-0.149
0.038,0.376,-0.153
0.0437,0.38,-0.158
0.0532,0.381,-0.156
0.0516,0.377,-0.154
0.0365,0.376,-0.156
0.0191,0.38,-0.156
0.0175,0.38,-0.154
0.0372,0.376,-0.15
0.0443,0.373,-0.149
0.0263,0.374,-0.153
0.00678,0.372,-0.156
0.00205,0.37,-0.158
0.0154,0.372,-0.158
0.0324,0.371,-0.154
0.0441,0.37,-0.154
0.0529,0.369,-0.155
0.0572,0.366,-0.151
0.0466,0.366,-0.149
0.0249,0.369,-0.152
0.0227,0.371,-0.152
0.0398,0.373,-0.15
0.0455,0.375,-0.147
0.0347,0.374,-0.144
0.0266,0.366,-0.142
0.0335,0.358,-0.138
0.0519,0.358,-0.135
0.0652,0.361,-0.139
0.0632,0.368,-0.147
0.0642,0.373,-0.152
0.0693,0.375,-0.149
0.0512,0.38,-0.146
0.018,0.381,-0.148
-0.00199,0.38,-0.155
-0.00311,0.382,-0.157
0.0124,0.381,-0.156
0.0308,0.376,-0.157
0.0424,0.37,-0.158
0.0503,0.368,-0.157
0.0396,0.369,-0.154
0.0157,0.37,-0.153
0.0183,0.368,-0.152
0.0393,0.363,-0.151
0.0385,0.362,-0.15
0.0263,0.365,-0.147
0.0244,0.367,-0.149
0.0303,0.373,-0.155
0.0434,0.377,-0.156
0.0456,0.38,-0.154
0.0374,0.381,-0.154
0.0385,0.373,-0.155
0.0424,0.369,-0.153
0.0446,0.371,-0.144
0.0325,0.372,-0.139
0.0148,0.377,-0.143
0.014,0.376,-0.148
0.0224,0.376,-0.156
0.0382,0.381,-0.16
0.0417,0.385,-0.157
0.0387,0.387,-0.158
0.0395,0.385,-0.156
0.0249,0.381,-0.151
0.0178,0.381,-0.153
0.024,0.38,-0.156
0.0417,0.375,-0.151
0.0626,0.379,-0.14
0.0493,0.385,-0.135
0.0201,0.384,-0.139
0.0107,0.379,-0.146
0.0313,0.37,-0.149
0.0622,0.363,-0.152
0.0623,0.362,-0.152
0.0473,0.365,-0.143
0.0444,0.368,-0.14
0.0381,0.371,-0.146
0.0294,0.369,-0.154
0.0234,0.366,-0.157
0.0127,0.368,-0.153
0.0156,0.369,-0.148
0.036,0.371,-0.144
0.0439,0.374,-0.146
0.0409,0.374,-0.148
0.0473,0.371,-0.148
0.0547,0.368,-0.152
0.0566,0.37,-0.15
0.0551,0.373,-0.146
0.0454,0.377,-0.155
0.031,0.377,-0.159
0.0185,0.373,-0.155
0.01,0.374,-0.154
0.00589,0.379,-0.156
0.0142,0.381,-0.159
0.0356,0.382,-0.157
0.0453,0.383,-0.154
0.0276,0.38,-0.154
0.00966,0.377,-0.151
0.00957,0.378,-0.15
0.0148,0.379,-0.153
0.0336,0.382,-0.158
0.0524,0.384,-0.16
0.0524,0.382,-0.156
0.0553,0.381,-0.149
0.056,0.38,-0.151
0.0428,0.378,-0.152
0.0276,0.376,-0.147
